H2O	O
(R)-3-Hydroxyhexanoyl-[acp] [Cytosol]	
(R)-3-Hydroxyoctadecanoyl-[acp] [Cytosol]	
(R)-3-Ureidoisobutyrate [Cytosol]	
(R)-4'-Phosphopantothenoyl-L-cysteine [Cytosol]	
(R)-Acetoin [Cytosol]	
(R)-Ipsdienol [Cytosol]	
(R)-Lactaldehyde [Cytosol]	
(R)-Lactate [Cytosol]	
(R)-Malate [Cytosol]	
(R)-Methylmalonyl-CoA [Cytosol]	
(R)-Pantoate [Cytosol]	
(R,R)-Butane-2,3-diol [Cytosol]	
(R,R)-Tartaric acid [Cytosol]	
(S)-(-)-Citronellal [Cytosol]	
(S)-1-Pyrroline-5-carboxylate [Cytosol]	
(S)-2-(Hydroxymethyl)glutarate [Cytosol]	
(S)-2-Aceto-2-hydroxybutanoate [Cytosol]	
(S)-2-Acetolactate [Cytosol]	
(S)-2-Aminobutanoate [Cytosol]	
(S)-3-Hydroxy-3-methylglutaryl-CoA [Cytosol]	
(S)-3-Hydroxybutanoyl-CoA [Cytosol]	
(S)-3-Hydroxydodecanoyl-CoA [Cytosol]	
(S)-3-Hydroxyhexadecanoyl-CoA [Cytosol]	
(S)-3-Hydroxyisobutyrate [Cytosol]	
(S)-3-Hydroxyisobutyryl-CoA [Cytosol]	
(S)-3-Hydroxyoctanoyl-CoA [Cytosol]	
(S)-3-Hydroxytetradecanoyl-CoA [Cytosol]	
(S)-3-Methyl-2-oxopentanoic acid [Cytosol]	
(S)-3-Sulfolactate [Cytosol]	
(S)-4,5-Dihydroxypentane-2,3-dione [Cytosol]	
(S)-4-Amino-5-oxopentanoate [Cytosol]	
(S)-4-Hydroxymandelonitrile [Cytosol]	
(S)-5-Oxo-2,5-dihydrofuran-2-acetate [Cytosol]	
(S)-Acetoin [Cytosol]	
(S)-Allantoin [Cytosol]	
(S)-Dihydroorotate [Cytosol]	
(S)-Hydroxydecanoyl-CoA [Cytosol]	
(S)-Hydroxyhexanoyl-CoA [Cytosol]	
(S)-Lactaldehyde [Cytosol]	
(S)-Lactate [Cytosol]	
(S)-Malate [Cytosol]	
(S)-Methylmalonate semialdehyde [Cytosol]	
(S)-Methylmalonyl-CoA [Cytosol]	
(S)-Ureidoglycine [Cytosol]	
(S)-Ureidoglycolate [Cytosol]	
(S,S)-Butane-2,3-diol [Cytosol]	
1,2-Dihydroxy-5-(methylthio)pent-1-en-3-one [Cytosol]	
1,3,7-Trimethyl-5-hydroxyisourate [Cytosol]	
1,3,7-Trimethyluric acid [Cytosol]	
1,4-Dihydroxy-2-naphthoate [Cytosol]	
1,4-Dihydroxy-2-naphthoyl-CoA [Cytosol]	
1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate [Cytosol]	
1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole [Cytosol]	
1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide [Cytosol]	
1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide [Cytosol]	
1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate [Cytosol]	
1-(5-Phospho-D-ribosyl)-ATP [Cytosol]	
1-Butanol [Cytosol]	
1-Deoxy-D-xylulose 5-phosphate [Cytosol]	
1-Hydroxy-2-methyl-2-butenyl 4-diphosphate [Cytosol]	
1-Hydroxymethylnaphthalene [Cytosol]	
1-Keto-D-chiro-inositol [Cytosol]	
1-Naphthaldehyde [Cytosol]	
1-Pyrroline-2-carboxylate [Cytosol]	
1-Pyrroline-4-hydroxy-2-carboxylate [Cytosol]	
10-Formyltetrahydrofolate [Cytosol]	
13(1)-Hydroxy-magnesium-protoporphyrin IX 13-monomethyl ester [Cytosol]	
13(1)-Oxo-magnesium-protoporphyrin IX 13-monomethyl ester [Cytosol]	
18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp] [Cytosol]	
1D-chiro-Inositol [Cytosol]	
1D-myo-Inositol 3-phosphate [Cytosol]	
2',3'-Cyclic AMP [Cytosol]	
2',3'-Cyclic CMP [Cytosol]	
2',3'-Cyclic GMP [Cytosol]	
2',3'-Cyclic UMP [Cytosol]	
2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate [Cytosol]	
2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate [Cytosol]	
2'-Deoxyinosine 5'-phosphate [Cytosol]	
2,3,4,5-Tetrahydrodipicolinate [Cytosol]	
2,3-Dihydroxy-3-methylbutanoate [Cytosol]	
2,3-Dihydroxy-p-cumate [Cytosol]	
2,3-Dihydroxybenzoate [Cytosol]	
2,3-Dihydroxypropane-1-sulfonate [Cytosol]	
2,4,6/3,5-Pentahydroxycyclohexanone [Cytosol]	
2,4-Diketo-3-deoxy-L-fuconate [Cytosol]	
2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one [Cytosol]	
2,5-Diaminopyrimidine nucleoside triphosphate [Cytosol]	
2,5-Dichloro-2,5-cyclohexadiene-1,4-diol [Cytosol]	
2,5-Dichlorohydroquinone [Cytosol]	
2,5-Didehydro-D-gluconate [Cytosol]	
2,5-Dioxopentanoate [Cytosol]	
2-(1,2-Epoxy-1,2-dihydrophenyl)acetyl-CoA [Cytosol]	
2-(2'-Methylthio)ethylmalic acid [Cytosol]	
2-(2-Carboxy-4-methylthiazol-5-yl)ethyl phosphate [Cytosol]	
2-(3'-Methylthio)propylmalic acid [Cytosol]	
2-(4'-Methylthio)butylmalic acid [Cytosol]	
2-(5'-Methylthio)pentylmalic acid [Cytosol]	
2-(6'-Methylthio)hexylmalic acid [Cytosol]	
2-(7'-Methylthio)heptylmalic acid [Cytosol]	
2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine [Cytosol]	
2-(alpha-Hydroxyethyl)thiamine diphosphate [Cytosol]	
2-(alpha-Hydroxypropyl)thiamine diphosphate [Cytosol]	
2-Acetolactate [Cytosol]	
2-Amino-2-deoxy-D-gluconate [Cytosol]	
2-Amino-5-oxocyclohex-1-enecarbonyl-CoA [Cytosol]	
2-Aminomuconate [Cytosol]	
2-Aminomuconate semialdehyde [Cytosol]	
2-C-Methyl-D-erythritol 2,4-cyclodiphosphate [Cytosol]	
2-C-Methyl-D-erythritol 4-phosphate [Cytosol]	
2-Carboxy-2,5-dihydro-5-oxofuran-2-acetate [Cytosol]	
2-Carboxybenzaldehyde [Cytosol]	
2-Dehydro-3-deoxy-6-phospho-D-galactonate [Cytosol]	
2-Dehydro-3-deoxy-6-phospho-D-gluconate [Cytosol]	
2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate [Cytosol]	
2-Dehydro-3-deoxy-D-galactonate [Cytosol]	
2-Dehydro-3-deoxy-D-gluconate [Cytosol]	
2-Dehydro-3-deoxy-D-xylonate [Cytosol]	
2-Dehydro-3-deoxy-L-fuconate [Cytosol]	
2-Dehydro-3-deoxy-L-rhamnonate [Cytosol]	
2-Dehydro-D-erythronate [Cytosol]	
2-Dehydro-L-erythronate [Cytosol]	
2-Dehydro-L-idonate [Cytosol]	
2-Dehydropantoate [Cytosol]	
2-Deoxy-5-keto-D-gluconic acid 6-phosphate [Cytosol]	
2-Deoxy-5-keto-D-gluconic acid [Cytosol]	
2-Deoxy-D-ribose 1-phosphate [Cytosol]	
2-Deoxy-D-ribose 5-phosphate [Cytosol]	
2-Formylglutarate [Cytosol]	
2-Furoate [Cytosol]	
2-Furoyl-CoA [Cytosol]	
2-Hydroxy-3-keto-5-methylthiopentenyl-1-phosphate [Cytosol]	
2-Hydroxy-3-oxopropane-1-sulfonate [Cytosol]	
2-Hydroxy-3-oxopropanoate [Cytosol]	
2-Hydroxy-3-oxosuccinate [Cytosol]	
2-Hydroxy-5-carboxymethylmuconate semialdehyde [Cytosol]	
2-Hydroxy-5-methyl-cis,cis-muconate [Cytosol]	
2-Hydroxy-5-methyl-cis,cis-muconic semialdehyde [Cytosol]	
2-Hydroxybutanoic acid [Cytosol]	
2-Hydroxycyclohexane-1-carboxyl-CoA [Cytosol]	
2-Hydroxyhepta-2,4-dienedioate [Cytosol]	
2-Hydroxylamino-4,6-dinitrotoluene [Cytosol]	
2-Hydroxymuconate [Cytosol]	
2-Hydroxymuconate semialdehyde [Cytosol]	
2-Isopropylmaleate [Cytosol]	
2-Keto-D-gluconic acid [Cytosol]	
2-Ketocyclohexane-1-carboxyl-CoA [Cytosol]	
2-Methyl-1-hydroxybutyl-ThPP [Cytosol]	
2-Methyl-1-hydroxypropyl-ThPP [Cytosol]	
2-Methyl-3-oxopropanoate [Cytosol]	
2-Methyl-trans-aconitate [Cytosol]	
2-Methylacetoacetyl-CoA [Cytosol]	
2-Methylbenzaldehyde [Cytosol]	
2-Methylbut-2-enoyl-CoA [Cytosol]	
2-Methylcitrate [Cytosol]	
2-Methylfumaryl-CoA [Cytosol]	
2-Methylmaleate [Cytosol]	
2-Methylprop-2-enoyl-CoA [Cytosol]	
2-Naphthaldehyde [Cytosol]	
2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone [Cytosol]	
2-Octaprenyl-6-methoxy-1,4-benzoquinone [Cytosol]	
2-Oxepin-2(3H)-ylideneacetyl-CoA [Cytosol]	
2-Oxo-2,3-dihydrofuran-5-acetate [Cytosol]	
2-Oxo-3-hydroxy-4-phosphobutanoate [Cytosol]	
2-Oxo-4-phenylbutyric acid [Cytosol]	
2-Oxoadipate [Cytosol]	
2-Oxobutanoate [Cytosol]	
2-Oxoglutaramate [Cytosol]	
2-Oxoglutarate [Cytosol]	
2-Oxoglutaryl-CoA [Cytosol]	
2-Oxohept-3-enedioate [Cytosol]	
2-Oxopimelate [Cytosol]	
2-Oxosuberate [Cytosol]	
2-Oxosuccinamate [Cytosol]	
2-Phenyl-1,3-propanediol monocarbamate [Cytosol]	
2-Phenylacetamide [Cytosol]	
2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol [Cytosol]	
2-Phospho-D-glycerate [Cytosol]	
2-Propynal [Cytosol]	
2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate [Cytosol]	
2-Succinylbenzoate [Cytosol]	
2-Succinylbenzoyl-CoA [Cytosol]	
2-[(2R,5Z)-2-Carboxy-4-methylthiazol-5(2H)-ylidene]ethyl phosphate [Cytosol]	
2-cis,6-trans-Farnesyl diphosphate [Cytosol]	
2-trans,6-trans-Farnesal [Cytosol]	
2-trans-Dodecenoyl-CoA [Cytosol]	
3',5'-Cyclic diGMP [Cytosol]	
3'-AMP [Cytosol]	
3'-CMP [Cytosol]	
3'-Phosphoadenylyl sulfate [Cytosol]	
3'-Phosphoadenylylselenate [Cytosol]	
3'-UMP [Cytosol]	
3,4-Dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione [Cytosol]	
3,4-Dihydroxymandelaldehyde [Cytosol]	
3,4-Dihydroxymandelate [Cytosol]	
3,4-Dihydroxyphenylacetaldehyde [Cytosol]	
3,4-Dihydroxyphenylacetate [Cytosol]	
3,4-Dihydroxyphenylethyleneglycol [Cytosol]	
3,5,7,9,11,13,15,17,19-Nonaoxo-docosanoyl-[acp] [Cytosol]	
3,5,7,9,11,13,15,17,19-Nonaoxo-eicosanoyl-[acp] [Cytosol]	
3,5,7,9,11,13,15,17,19-Nonaoxo-henicosanoyl-[acp] [Cytosol]	
3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp] [Cytosol]	
3,5,7,9,11,13,15-Heptaoxo-octadecanoyl-[acp] [Cytosol]	
3,5-Dihydroxyphenylacetyl-CoA [Cytosol]	
3,6-Dideoxy-3-oxo-dTDP-D-glucose [Cytosol]	
3-(2'-Methylthio)ethylmalic acid [Cytosol]	
3-(3'-Methylthio)propylmalic acid [Cytosol]	
3-(4'-Methylthio)butylmalic acid [Cytosol]	
3-(4-Hydroxyphenyl)pyruvate [Cytosol]	
3-(4-Methylpent-3-en-1-yl)pent-2-enedioyl-CoA [Cytosol]	
3-(5'-Methylthio)pentylmalic acid [Cytosol]	
3-(6'-Methylthio)hexylmalic acid [Cytosol]	
3-(7'-Methylthio)heptylmalic acid [Cytosol]	
3-(Imidazol-4-yl)-2-oxopropyl phosphate [Cytosol]	
3-(Methylthio)acryloyl-CoA [Cytosol]	
3-(Methylthio)propanoate [Cytosol]	
3-(Methylthio)propanoyl-CoA [Cytosol]	
3-(O-Geranylgeranyl)-sn-glycerol 1-phosphate [Cytosol]	
3-Aminobutanoyl-CoA [Cytosol]	
3-Aminopropanal [Cytosol]	
3-Benzylmalic acid [Cytosol]	
3-Carbamoyl-2-phenylpropionaldehyde [Cytosol]	
3-Carbamoyl-2-phenylpropionic acid [Cytosol]	
3-Carboxy-cis,cis-muconate [Cytosol]	
3-Chloro-cis,cis-muconate [Cytosol]	
3-Dehydro-D-glucose 6-phosphate [Cytosol]	
3-Dehydro-L-erythronate [Cytosol]	
3-Dehydro-L-gulonate 6-phosphate [Cytosol]	
3-Dehydro-L-gulonate [Cytosol]	
3-Dehydro-L-threonate [Cytosol]	
3-Dehydroquinate [Cytosol]	
3-Dehydroshikimate [Cytosol]	
3-Fluoro-cis,cis-muconate [Cytosol]	
3-Fumarylpyruvate [Cytosol]	
3-Hydroxy-3-methyl-2-oxobutanoic acid [Cytosol]	
3-Hydroxy-5-methylhex-4-enoyl-CoA [Cytosol]	
3-Hydroxy-5-oxohexanoate [Cytosol]	
3-Hydroxy-5-oxohexanoyl-CoA [Cytosol]	
3-Hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione [Cytosol]	
3-Hydroxyaminophenol [Cytosol]	
3-Hydroxybenzaldehyde [Cytosol]	
3-Hydroxybenzoate [Cytosol]	
3-Hydroxybutanoyl-CoA [Cytosol]	
3-Hydroxyglutaryl-[acp] methyl ester [Cytosol]	
3-Hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-[acp] [Cytosol]	
3-Hydroxyisovaleryl-CoA [Cytosol]	
3-Hydroxypimeloyl-CoA [Cytosol]	
3-Hydroxypimeloyl-[acp] methyl ester [Cytosol]	
3-Hydroxypropanal [Cytosol]	
3-Hydroxypropionyl-CoA [Cytosol]	
3-Ketoglutaryl-[acp] methyl ester [Cytosol]	
3-Ketopimeloyl-[acp] methyl ester [Cytosol]	
3-Mercaptolactate [Cytosol]	
3-Methoxy-4-hydroxymandelate [Cytosol]	
3-Methoxy-4-hydroxyphenylacetaldehyde [Cytosol]	
3-Methoxy-4-hydroxyphenylglycolaldehyde [Cytosol]	
3-Methyl-1-hydroxybutyl-ThPP [Cytosol]	
3-Methyl-2-oxobutanoic acid [Cytosol]	
3-Methyl-cis,cis-hexadienedioate [Cytosol]	
3-Methylbenzaldehyde [Cytosol]	
3-Methylbutanoyl-CoA [Cytosol]	
3-Methylcrotonyl-CoA [Cytosol]	
3-Methylglutaconyl-CoA [Cytosol]	
3-Methylmuconolactone [Cytosol]	
3-Oxo-5,6-dehydrosuberyl-CoA [Cytosol]	
3-Oxo-OPC4-CoA [Cytosol]	
3-Oxo-OPC6-CoA [Cytosol]	
3-Oxo-OPC8-CoA [Cytosol]	
3-Oxoadipate [Cytosol]	
3-Oxoadipyl-CoA [Cytosol]	
3-Oxodecanoyl-CoA [Cytosol]	
3-Oxodecanoyl-[acp] [Cytosol]	
3-Oxododecanoyl-CoA [Cytosol]	
3-Oxododecanoyl-[acp] [Cytosol]	
3-Oxohexadecanoyl-[acp] [Cytosol]	
3-Oxohexanoyl-CoA [Cytosol]	
3-Oxohexanoyl-[acp] [Cytosol]	
3-Oxooctanoyl-CoA [Cytosol]	
3-Oxooctanoyl-[acp] [Cytosol]	
3-Oxopalmitoyl-CoA [Cytosol]	
3-Oxopimeloyl-CoA [Cytosol]	
3-Oxopropanoate [Cytosol]	
3-Oxostearoyl-[acp] [Cytosol]	
3-Oxotetradecanoyl-CoA [Cytosol]	
3-Oxotetradecanoyl-[acp] [Cytosol]	
3-Phospho-D-glycerate [Cytosol]	
3-Phospho-D-glyceroyl phosphate [Cytosol]	
3-Phosphonooxypyruvate [Cytosol]	
3-Sulfino-L-alanine [Cytosol]	
3-Sulfinylpyruvate [Cytosol]	
3-Sulfopyruvate [Cytosol]	
3-Ureidopropionate [Cytosol]	
3-[(1R,2S,5R,6S)-5-Hydroxy-7-oxabicyclo[4.1.0]heptan-2-yl]-2-oxopropanoate [Cytosol]	
3-[(3aS,4S,7aS)-7a-Methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoate [Cytosol]	
3-[(3aS,4S,7aS)-7a-Methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl-CoA [Cytosol]	
3-{[(2E)-4-Amino-4-oxobut-2-enoyl]amino}-L-alanine [Cytosol]	
3alpha,20alpha,21-Trihydroxy-5beta-pregnan-11-one [Cytosol]	
3alpha,21-Dihydroxy-5beta-pregnane-11,20-dione [Cytosol]	
3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoyl-CoA [Cytosol]	
3alpha,7alpha,26-Trihydroxy-5beta-cholestane [Cytosol]	
3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al [Cytosol]	
3alpha,7alpha-Dihydroxy-5beta-cholestanate [Cytosol]	
3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA [Cytosol]	
4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol [Cytosol]	
4-(L-gamma-Glutamylamino)butanoate [Cytosol]	
4-Acetamidobutanoate [Cytosol]	
4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine [Cytosol]	
4-Amino-4-deoxychorismate [Cytosol]	
4-Amino-5-aminomethyl-2-methylpyrimidine [Cytosol]	
4-Amino-5-hydroxymethyl-2-methylpyrimidine [Cytosol]	
4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate [Cytosol]	
4-Aminobenzoate [Cytosol]	
4-Aminobutanoate [Cytosol]	
4-Aminobutyraldehyde [Cytosol]	
4-Aminocatechol [Cytosol]	
4-Coumarate [Cytosol]	
4-Fluoromuconolactone [Cytosol]	
4-Guanidinobutanal [Cytosol]	
4-Guanidinobutanamide [Cytosol]	
4-Guanidinobutanoate [Cytosol]	
4-Hydroxy-2,2'-bipyrrole-5-methanol [Cytosol]	
4-Hydroxy-2-oxoglutarate [Cytosol]	
4-Hydroxy-3-methoxy-benzaldehyde [Cytosol]	
4-Hydroxy-3-methoxyphenyl-beta-hydroxypropanoyl-CoA [Cytosol]	
4-Hydroxy-3-methylbenzaldehyde [Cytosol]	
4-Hydroxy-3-methylbenzoate [Cytosol]	
4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one [Cytosol]	
4-Hydroxy-L-threonine [Cytosol]	
4-Hydroxybenzaldehyde [Cytosol]	
4-Hydroxybenzoate [Cytosol]	
4-Hydroxybenzoyl-CoA [Cytosol]	
4-Hydroxybenzoyl-[acp] [Cytosol]	
4-Hydroxybenzoyl-adenylate [Cytosol]	
4-Hydroxybutanoic acid [Cytosol]	
4-Hydroxybutyryl-CoA [Cytosol]	
4-Hydroxylamino-2,6-dinitrotoluene [Cytosol]	
4-Hydroxyphenylacetaldehyde [Cytosol]	
4-Hydroxyphenylacetate [Cytosol]	
4-Hydroxyphenylglyoxylate [Cytosol]	
4-Imidazolone-5-propanoate [Cytosol]	
4-Isopropylbenzaldehyde [Cytosol]	
4-Methyl-2-oxopentanoate [Cytosol]	
4-Methyl-5-(2-phosphooxyethyl)thiazole [Cytosol]	
4-Methylmuconolactone [Cytosol]	
4-Methylthio-2-oxobutanoic acid [Cytosol]	
4-Nitrophenol [Cytosol]	
4-Nitrophenyl phosphate [Cytosol]	
4-Phospho-D-erythronate [Cytosol]	
4-Phospho-L-aspartate [Cytosol]	
4-Trimethylammoniobutanal [Cytosol]	
4-Trimethylammoniobutanoate [Cytosol]	
5'-Deoxy-5-fluorocytidine [Cytosol]	
5'-Deoxy-5-fluorouridine [Cytosol]	
5'-Deoxyadenosine [Cytosol]	
5'-Methylthioadenosine [Cytosol]	
5'-Phosphoguanylyl(3'->5')guanosine [Cytosol]	
5'-Phosphoribosyl-N-formylglycinamide [Cytosol]	
5'-Phosphoribosylglycinamide [Cytosol]	
5,10-Methenyltetrahydrofolate [Cytosol]	
5,10-Methylenetetrahydrofolate [Cytosol]	
5,10-Methylenetetrahydromethanopterin [Cytosol]	
5,6,7,8-Tetrahydromethanopterin [Cytosol]	
5-(2-Hydroxyethyl)-4-methylthiazole [Cytosol]	
5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide [Cytosol]	
5-Amino-4-imidazolecarboxyamide [Cytosol]	
5-Amino-6-(1-D-ribitylamino)uracil [Cytosol]	
5-Amino-6-(5'-phospho-D-ribitylamino)uracil [Cytosol]	
5-Amino-6-(5'-phosphoribosylamino)uracil [Cytosol]	
5-Aminolevulinate [Cytosol]	
5-Aminopentanal [Cytosol]	
5-Aminopentanamide [Cytosol]	
5-Aminopentanoate [Cytosol]	
5-Androstene-3,17-dione [Cytosol]	
5-Carboxy-2-oxohept-3-enedioate [Cytosol]	
5-Carboxy-2-pentenoyl-CoA [Cytosol]	
5-Carboxyamino-1-(5-phospho-D-ribosyl)imidazole [Cytosol]	
5-Carboxymethyl-2-hydroxymuconate [Cytosol]	
5-Dehydro-4-deoxy-D-glucarate [Cytosol]	
5-Deoxyribose-1-phosphate [Cytosol]	
5-FU [Cytosol]	
5-Fluorodeoxyuridine [Cytosol]	
5-Fluorodeoxyuridine diphosphate [Cytosol]	
5-Fluorodeoxyuridine monophosphate [Cytosol]	
5-Fluorodeoxyuridine triphosphate [Cytosol]	
5-Fluorouridine [Cytosol]	
5-Fluorouridine diphosphate [Cytosol]	
5-Fluorouridine monophosphate [Cytosol]	
5-Fluorouridine triphosphate [Cytosol]	
5-Guanidino-2-oxopentanoate [Cytosol]	
5-Hydroxyferulic acid methyl ester [Cytosol]	
5-Hydroxyferuloyl-CoA [Cytosol]	
5-Hydroxyindoleacetaldehyde [Cytosol]	
5-Hydroxyindoleacetate [Cytosol]	
5-Methyl-3-oxo-4-hexenoyl-CoA [Cytosol]	
5-Methylhex-4-enoyl-CoA [Cytosol]	
5-Methyltetrahydrofolate [Cytosol]	
5-Methyltetrahydropteroyltri-L-glutamate [Cytosol]	
5-Methylthio-D-ribose [Cytosol]	
5-O-(1-Carboxyvinyl)-3-phosphoshikimate [Cytosol]	
5-Oxopentanoate [Cytosol]	
5-Oxoproline [Cytosol]	
5-Phenyl-1,3-oxazinane-2,4-dione [Cytosol]	
5-Phospho-alpha-D-ribose 1-diphosphate [Cytosol]	
5-Phosphoribosylamine [Cytosol]	
5alpha-Androstane-3,17-dione [Cytosol]	
6,7-Dimethyl-8-(D-ribityl)lumazine [Cytosol]	
6-(Hydroxymethyl)-7,8-dihydropterin [Cytosol]	
6-Amino-6-deoxyfutalosine [Cytosol]	
6-Carboxy-5,6,7,8-tetrahydropterin [Cytosol]	
6-Carboxyhexanoyl-CoA [Cytosol]	
6-Deoxy-6-sulfo-D-fructose 1-phosphate [Cytosol]	
6-Deoxy-6-sulfo-D-fructose [Cytosol]	
6-Hydroxyhexanoic acid [Cytosol]	
6-Hydroxymethyl-7,8-dihydropterin diphosphate [Cytosol]	
6-Hydroxynicotinate [Cytosol]	
6-Mercaptopurine [Cytosol]	
6-Methylmercaptopurine [Cytosol]	
6-Methylthiopurine 5'-monophosphate ribonucleotide [Cytosol]	
6-Phospho-2-dehydro-D-gluconate [Cytosol]	
6-Phospho-D-gluconate [Cytosol]	
6-Phospho-beta-D-glucosyl-(1,4)-D-glucose [Cytosol]	
6-Thioguanosine monophosphate [Cytosol]	
6-Thioinosine-5'-monophosphate [Cytosol]	
6-Thioxanthine 5'-monophosphate [Cytosol]	
7,8-Diaminononanoate [Cytosol]	
7,8-Dihydrobiopterin [Cytosol]	
7,8-Dihydroneopterin [Cytosol]	
7-Aminomethyl-7-carbaguanine [Cytosol]	
7-Carboxy-7-carbaguanine [Cytosol]	
7-Cyano-7-carbaguanine [Cytosol]	
7-Methyl-3-oxo-6-octenoyl-CoA [Cytosol]	
8-Amino-3,8-dideoxy-D-manno-octulosonate [Cytosol]	
8-Amino-7-oxononanoate [Cytosol]	
8-Dehydro-3-deoxy-D-manno-octulosonate [Cytosol]	
8-Demethyl-8-(2,3-di-O-methyl-alpha-L-rhamnosyl)tetracenomycin C [Cytosol]	
8-Demethyl-8-(2-O-methyl-alpha-L-rhamnosyl)tetracenomycin C [Cytosol]	
8-Demethyl-8-alpha-L-rhamnosyltetracenomycin C [Cytosol]	
8-Demethyltetracenomycin C [Cytosol]	
ADP [Cytosol]	
ADP-glucose [Cytosol]	
ADP-ribose [Cytosol]	
AMP [Cytosol]	
ATP [Cytosol]	
Acetaldehyde [Cytosol]	
Acetate [Cytosol]	
Acetoacetate [Cytosol]	
Acetoacetyl-CoA [Cytosol]	
Acetoacetyl-[acp] [Cytosol]	
Acetone [Cytosol]	
Acetone cyanohydrin [Cytosol]	
Acetyl phosphate [Cytosol]	
Acetyl-CoA [Cytosol]	
Acetyl-[acyl-carrier protein] [Cytosol]	
Acrylamide [Cytosol]	
Acrylic acid [Cytosol]	
Acyl-carrier protein [Cytosol]	
Adenine [Cytosol]	
Adenosine 3',5'-bisphosphate [Cytosol]	
Adenosine [Cytosol]	
Adenosine-GDP-cobinamide [Cytosol]	
Adenosyl cobinamide [Cytosol]	
Adenosyl cobyrinate hexaamide [Cytosol]	
Adenosylcobalamin 5'-phosphate [Cytosol]	
Adenylated molybdopterin [Cytosol]	
Adenylyl sulfate [Cytosol]	
Adenylylselenate [Cytosol]	
Adipate semialdehyde [Cytosol]	
Adipyl-CoA [Cytosol]	
Agmatine [Cytosol]	
Alcophosphamide [Cytosol]	
Aldophosphamide [Cytosol]	
Allantoate [Cytosol]	
Aminofructose 6-phosphate [Cytosol]	
Aminohydroquinone [Cytosol]	
Aminoimidazole ribotide [Cytosol]	
Aminopropylcadaverine [Cytosol]	
Ammonia [Cytosol]	
Amygdalin [Cytosol]	
Anaerobilin [Cytosol]	
Androstenediol [Cytosol]	
Androstenedione [Cytosol]	
Anthranilate [Cytosol]	
Anthraniloyl-CoA [Cytosol]	
Ascorbate [Cytosol]	
Benzaldehyde [Cytosol]	
Benzamide [Cytosol]	
Benzoate [Cytosol]	
Benzoyl-CoA [Cytosol]	
Benzoylacetyl-CoA [Cytosol]	
Benzoylsuccinyl-CoA [Cytosol]	
Benzylsuccinyl-CoA [Cytosol]	
Betaine [Cytosol]	
Betaine aldehyde [Cytosol]	
Bilirubin [Cytosol]	
Biliverdin [Cytosol]	
Biomass [Cytosol]	
Biotin [Cytosol]	
Biotin sulfoxide [Cytosol]	
Biotin_e [Extracellular]	
Biotinyl-5'-AMP [Cytosol]	
But-2-enoyl-[acyl-carrier protein] [Cytosol]	
Butanal [Cytosol]	
Butanoic acid [Cytosol]	
Butanoyl-CoA [Cytosol]	
Butanoylphosphate [Cytosol]	
Butyryl-[acp] [Cytosol]	
C00089[e]	
C00116[e]	
C00185[e]	
C00246[e]	
C00249[e]	
C00259[e]	
C01353 [Cytosol]	
C01530 [Cytosol]	
C02679 [Cytosol]	
C06424 [Cytosol]	
CDP [Cytosol]	
CDP-ribitol [Cytosol]	
CMP [Cytosol]	
CO [Cytosol]	
CO2 [Cytosol]	
CTP [Cytosol]	
Cadaverine [Cytosol]	
Caffeate [Cytosol]	
Caffeoyl-CoA [Cytosol]	
Carbamate [Cytosol]	
Carbamoyl phosphate [Cytosol]	
Carboxyphosphamide [Cytosol]	
Carboxyphosphate [Cytosol]	
Cellmembrane [Cytosol]	
Cellobiose [Cytosol]	
Cellwall [Cytosol]	
Chloral hydrate [Cytosol]	
